"Actions","Effects","True k","Learning k","Effect-wise precision","Effect-wise recall","Parent pattern precision","Parent pattern recall","Log posterior","Log likelihood","File"
10,1000,1,1,1,1,0.6,1,-76.246189861594,17821.8426272382,"rdata/model-10-1-1-1.RData"
10,1000,1,2,1,1,0.375,1,-140.015730473109,35643.6852544764,"rdata/model-10-1-1-2.RData"
10,1000,1,3,1,1,0.333333333333333,1,-216.261920334703,47569.6804332882,"rdata/model-10-1-1-3.RData"
10,1000,1,4,1,1,0.25,1,-253.69186808494,70881.0786825734,"rdata/model-10-1-1-4.RData"
10,1000,1,5,1,1,0.25,1,-304.984759446376,88207.3929153995,"rdata/model-10-1-1-5.RData"
10,1000,1,6,1,1,0.272727272727273,1,-282.804049668458,106931.055763429,"rdata/model-10-1-1-6.RData"
10,1000,1,7,1,1,0.25,1,-307.757348168616,106801.335951662,"rdata/model-10-1-1-7.RData"
10,1000,1,8,1,1,0.25,1,-346.573590279973,142168.449191526,"rdata/model-10-1-1-8.RData"
10,1000,1,1,1,1,0.857142857142857,1,-58.2243631670354,13161.560788772,"rdata/model-10-1-2-1.RData"
10,1000,1,2,0.984147114774889,1,0.666666666666667,1,-115.062431972951,25733.4098734726,"rdata/model-10-1-2-2.RData"
10,1000,1,3,1,1,0.545454545454545,1,-158.037557167668,38194.5002237579,"rdata/model-10-1-2-3.RData"
10,1000,1,4,0.812140240711669,1,0.5,1,-180.218266945586,47506.5100536125,"rdata/model-10-1-2-4.RData"
10,1000,1,5,1,1,0.5,1,-224.579686501422,64521.1024425573,"rdata/model-10-1-2-5.RData"
10,1000,1,6,0.812140240711669,1,0.5,1,-241.215218834861,70147.9837082842,"rdata/model-10-1-2-6.RData"
10,1000,1,7,0.971011470281543,1,0.461538461538462,1,-181.604561306706,75270.9997727874,"rdata/model-10-1-2-7.RData"
10,1000,1,8,0.812140240711669,1,0.461538461538462,1,-230.124863945902,94252.7736316202,"rdata/model-10-1-2-8.RData"
10,1000,1,1,0.892122690833043,1,0.714285714285714,1,-62.3832462503951,12868.0505494197,"rdata/model-10-1-3-1.RData"
10,1000,1,2,1,1,0.555555555555556,1,-121.99390377855,25898.1954912732,"rdata/model-10-1-3-2.RData"
10,1000,1,3,0.920186949487687,1,0.5,1,-164.969028973267,35595.9584729982,"rdata/model-10-1-3-3.RData"
10,1000,1,4,0.762891207153502,1,0.5,1,-225.965980862542,39708.3592376634,"rdata/model-10-1-3-4.RData"
10,1000,1,5,0.819171067370779,1,0.5,1,-234.283747029262,54396.2448655341,"rdata/model-10-1-3-5.RData"
10,1000,1,6,0.775958769137487,1,0.454545454545455,1,-303.598465085256,60544.9495180379,"rdata/model-10-1-3-6.RData"
10,1000,1,7,0.745232202649585,1,0.454545454545455,1,-316.075114335335,67864.6637952338,"rdata/model-10-1-3-7.RData"
10,1000,1,8,0.738139870223504,1,0.384615384615385,1,-353.505062085572,88198.7847378766,"rdata/model-10-1-3-8.RData"
10,1000,1,1,1,1,1,1,-69.3147180559945,13415.7016736215,"rdata/model-10-1-4-1.RData"
