"Actions","Effects","True k","Learning k","Effect matrix precision","Effect matrix recall","Ancestry set precision","Ancestry set recall","Pairwise ancestry precision","Pairwise ancestry recall","Log posterior","Log likelihood","File"
10,1000,2,7,0.993627450980392,1,0.25,1,0.9875,0.75,-160.810145889907,54924.0603662861,"rdata/model-10-2-3-7.RData"
10,1000,2,8,0.993627450980392,1,0.25,1,0.988888888888889,0.802325581395349,-160.810145889907,77267.2728845067,"rdata/model-10-2-3-8.RData"
10,1000,2,1,0.947721822541966,1,0.333333333333333,0.5,0.972972972972973,0.442176870748299,-34.6573590279973,10676.5190198504,"rdata/model-10-2-4-1.RData"
10,1000,2,2,0.947721822541966,1,0.3,0.5,0.96551724137931,0.557823129251701,-83.1776616671934,21353.0380397007,"rdata/model-10-2-4-2.RData"
10,1000,2,3,0.947721822541966,1,0.272727272727273,0.5,0.974683544303797,0.802721088435374,-117.835020695191,26207.8528601149,"rdata/model-10-2-4-3.RData"
10,1000,2,4,0.947721822541966,1,0.25,0.5,0.977011494252874,0.789115646258503,-128.92537558415,32649.8515154903,"rdata/model-10-2-4-4.RData"
10,1000,2,5,0.947721822541966,1,0.25,0.5,0.969072164948454,0.82312925170068,-140.015730473109,36075.0996524167,"rdata/model-10-2-4-5.RData"
10,1000,2,6,0.947721822541966,1,0.25,0.5,0.977272727272727,0.782312925170068,-116.448726334071,43946.6649912798,"rdata/model-10-2-4-6.RData"
10,1000,2,7,0.947721822541966,1,0.25,0.5,0.969387755102041,0.748299319727891,-152.492379723188,53593.0984762011,"rdata/model-10-2-4-7.RData"
10,1000,2,8,0.947721822541966,1,0.25,0.5,0.976190476190476,0.918367346938776,-176.059383862226,54623.1840111302,"rdata/model-10-2-4-8.RData"
10,1000,2,1,1,1,0.625,0.454545454545455,1,0.509259259259259,-38.8162421113569,9474.38878910846,"rdata/model-10-2-5-1.RData"
10,1000,2,2,0.945270839180466,1,0.727272727272727,0.727272727272727,1,0.638888888888889,-72.0873067782343,17745.9744419381,"rdata/model-10-2-5-2.RData"
10,1000,2,3,1,1,0.666666666666667,0.727272727272727,1,0.648148148148148,-94.2680165561526,27125.1397888444,"rdata/model-10-2-5-3.RData"
10,1000,2,4,0.905863367401829,1,0.615384615384615,0.727272727272727,0.947916666666667,0.712962962962963,-109.517254528471,26640.5842219835,"rdata/model-10-2-5-4.RData"
10,1000,2,5,0.921225382932166,1,0.615384615384615,0.727272727272727,0.967032967032967,1,-131.69796430639,35652.1473112236,"rdata/model-10-2-5-5.RData"
10,1000,2,6,0.852226720647773,1,0.615384615384615,0.727272727272727,0.958333333333333,0.62962962962963,-120.60760941743,43672.427026193,"rdata/model-10-2-5-6.RData"
10,1000,2,7,0.89645994144264,1,0.615384615384615,0.727272727272727,0.897727272727273,0.740740740740741,-156.651262806548,52377.8618701032,"rdata/model-10-2-5-7.RData"
10,1000,2,8,0.883757543951719,1,0.615384615384615,0.727272727272727,0.845238095238095,0.740740740740741,-163.582734612147,53982.5939671829,"rdata/model-10-2-5-8.RData"
10,1000,2,1,0.884378044819747,1,0.6,0.428571428571429,0.875,0.73,-45.7477139169564,6771.43593461283,"rdata/model-10-2-6-1.RData"
10,1000,2,2,0.909485637942552,1,0.529411764705882,0.642857142857143,0.823529411764706,0.79,-63.769540611515,6987.02570186327,"rdata/model-10-2-6-2.RData"
10,1000,2,1,0.979057591623037,1,0.555555555555556,0.5,0.941176470588235,0.458333333333333,-30.4984759446376,9331.53686600376,"rdata/model-10-2-7-1.RData"
10,1000,2,1,0.908635097493036,1,0.5,0.416666666666667,0.825,0.403508771929825,-33.2710646668774,8299.3898889693,"rdata/model-10-2-8-1.RData"
10,1000,2,2,0.858421052631579,1,0.461538461538462,0.5,0.76271186440678,0.526315789473684,-56.8380688059155,10931.259498994,"rdata/model-10-2-8-2.RData"
10,1000,2,1,0.988545246277205,0.989111747851003,0.571428571428571,0.666666666666667,1,0.536912751677852,-44.3614195558365,9654.74240870217,"rdata/model-10-2-9-1.RData"
10,1000,2,2,0.908854166666667,1,0.461538461538462,1,0.947368421052632,0.738255033557047,-77.6324842227139,16775.4378328735,"rdata/model-10-2-9-2.RData"
10,1000,3,1,0.998389045509464,0.989620758483034,0.555555555555556,0.277777777777778,0.911764705882353,0.426900584795322,-33.2710646668774,6974.76652053798,"rdata/model-10-3-1-1.RData"
10,1000,3,2,0.941729323308271,1,0.538461538461538,0.388888888888889,0.933333333333333,0.660818713450292,-55.4517744447956,12383.5441308331,"rdata/model-10-3-1-2.RData"
10,1000,3,3,0.961981566820276,1,0.538461538461538,0.388888888888889,0.862068965517241,0.538011695906433,-67.9284236948746,17979.494629976,"rdata/model-10-3-1-3.RData"
10,1000,3,4,1,1,0.538461538461538,0.388888888888889,0.923076923076923,0.690058479532164,-80.4050729449537,24309.2990565761,"rdata/model-10-3-1-4.RData"
10,1000,3,5,0.961981566820276,1,0.538461538461538,0.388888888888889,0.879310344827586,0.584795321637427,-80.4050729449537,18279.8904983665,"rdata/model-10-3-1-5.RData"
10,1000,3,6,0.978133541585318,1,0.538461538461538,0.388888888888889,0.896551724137931,0.766081871345029,-105.358371445112,29911.467733105,"rdata/model-10-3-1-6.RData"
10,1000,3,7,0.941729323308271,1,0.538461538461538,0.388888888888889,0.9,0.701754385964912,-113.676137611831,35760.7540698764,"rdata/model-10-3-1-7.RData"
10,1000,3,8,0.978133541585318,1,0.538461538461538,0.388888888888889,0.918918918918919,0.690058479532164,-101.199488361752,24822.541098171,"rdata/model-10-3-1-8.RData"
10,1000,3,1,0.989855072463768,1,0.444444444444444,0.19047619047619,0.857142857142857,0.342857142857143,-24.953298500158,7597.06451994177,"rdata/model-10-3-10-1.RData"
10,1000,3,1,1,1,0.555555555555556,0.294117647058824,1,0.366459627329193,-26.3395928612779,7395.65821702843,"rdata/model-10-3-2-1.RData"
10,1000,3,2,1,1,0.545454545454545,0.352941176470588,1,0.478260869565217,-51.2928913614359,14622.8373569802,"rdata/model-10-3-2-2.RData"
10,1000,3,3,1,1,0.545454545454545,0.352941176470588,1,0.590062111801242,-76.246189861594,21823.2951963672,"rdata/model-10-3-2-3.RData"
10,1000,3,4,1,1,0.583333333333333,0.411764705882353,1,0.546583850931677,-76.246189861594,21850.0164969319,"rdata/model-10-3-2-4.RData"
10,1000,3,5,1,1,0.583333333333333,0.411764705882353,1,0.664596273291925,-76.246189861594,24612.2807248738,"rdata/model-10-3-2-5.RData"
10,1000,3,6,1,1,0.583333333333333,0.411764705882353,1,0.664596273291925,-102.585782722872,43700.0329938638,"rdata/model-10-3-2-6.RData"
10,1000,3,7,1,1,0.583333333333333,0.411764705882353,1,0.645962732919255,-103.972077083992,37215.6960961818,"rdata/model-10-3-2-7.RData"
10,1000,3,8,1,1,0.583333333333333,0.411764705882353,1,0.770186335403727,-102.585782722872,36472.8538539121,"rdata/model-10-3-2-8.RData"
10,1000,3,1,0.888577154308617,0.998648648648649,0.8,0.4,0.926829268292683,0.533333333333333,-37.429947750237,5499.6654858664,"rdata/model-10-3-3-1.RData"
10,1000,3,2,0.844106463878327,1,0.705882352941177,0.6,0.8125,0.706666666666667,-69.3147180559945,5113.42214872446,"rdata/model-10-3-3-2.RData"
10,1000,3,3,0.860798759208996,1,0.705882352941177,0.6,0.855072463768116,0.733333333333333,-69.3147180559945,5252.74402601642,"rdata/model-10-3-3-3.RData"
10,1000,3,4,0.8584686774942,1,0.705882352941177,0.6,0.89873417721519,0.726666666666667,-81.7913673060735,6717.83907231073,"rdata/model-10-3-3-4.RData"
10,1000,3,5,0.882703777335984,1,0.705882352941177,0.6,0.883720930232558,0.82,-91.4954278339128,7548.47902160129,"rdata/model-10-3-3-5.RData"
10,1000,3,6,0.860798759208996,1,0.705882352941177,0.6,0.903846153846154,0.753333333333333,-113.676137611831,9906.29907850914,"rdata/model-10-3-3-6.RData"
10,1000,3,7,0.917734601074824,1,0.705882352941177,0.6,0.842105263157895,0.726666666666667,-105.358371445112,9097.13163638001,"rdata/model-10-3-3-7.RData"
10,1000,3,8,0.852534562211982,1,0.705882352941177,0.6,0.856,0.846666666666667,-135.856847389749,10420.2822308269,"rdata/model-10-3-3-8.RData"
10,1000,3,1,0.98156862745098,1,0.444444444444444,0.235294117647059,0.821428571428571,0.318918918918919,-24.953298500158,6923.66677352491,"rdata/model-10-3-4-1.RData"
10,1000,3,2,0.98156862745098,1,0.363636363636364,0.235294117647059,0.775,0.4,-37.429947750237,13847.3335470498,"rdata/model-10-3-4-2.RData"
10,1000,3,3,0.98156862745098,1,0.384615384615385,0.294117647058824,0.825,0.740540540540541,-84.5639560283133,16647.0828090429,"rdata/model-10-3-4-3.RData"
10,1000,3,4,0.98156862745098,1,0.384615384615385,0.294117647058824,0.875,0.745945945945946,-97.0406052783923,24496.7649843773,"rdata/model-10-3-4-4.RData"
10,1000,3,5,1,1,0.384615384615385,0.294117647058824,0.858974358974359,0.691891891891892,-97.0406052783923,24609.4889858763,"rdata/model-10-3-4-5.RData"
10,1000,3,6,0.98156862745098,1,0.384615384615385,0.294117647058824,0.842857142857143,0.659459459459459,-121.99390377855,30354.4643879948,"rdata/model-10-3-4-6.RData"
10,1000,3,7,1,1,0.384615384615385,0.294117647058824,0.871794871794872,0.691891891891892,-84.5639560283133,24634.1249406388,"rdata/model-10-3-4-7.RData"
10,1000,3,8,1,1,0.384615384615385,0.294117647058824,0.91025641025641,0.681081081081081,-97.0406052783923,24634.1249406388,"rdata/model-10-3-4-8.RData"
10,1000,3,1,1,1,0.222222222222222,0.5,1,0.319277108433735,-24.953298500158,6745.79627353842,"rdata/model-10-3-5-1.RData"
10,1000,3,2,1,1,0.2,0.5,1,0.421686746987952,-49.9065970003161,13491.5925470768,"rdata/model-10-3-5-2.RData"
10,1000,3,3,1,1,0.181818181818182,0.5,1,0.319277108433735,-49.9065970003161,20208.9245687482,"rdata/model-10-3-5-3.RData"
10,1000,3,4,1,1,0.181818181818182,0.5,1,0.626506024096386,-74.8598955004741,13491.5925470768,"rdata/model-10-3-5-4.RData"
10,1000,3,5,1,1,0.181818181818182,0.5,1,0.475903614457831,-99.8131940006321,23405.870745493,"rdata/model-10-3-5-5.RData"
10,1000,3,6,1,1,0.181818181818182,0.5,1,0.524096385542169,-74.8598955004741,20237.3888206153,"rdata/model-10-3-5-6.RData"
10,1000,3,7,1,1,0.181818181818182,0.5,1,0.626506024096386,-99.8131940006321,34531.5632280408,"rdata/model-10-3-5-7.RData"
10,1000,3,8,1,1,0.181818181818182,0.5,1,0.481927710843373,-87.3365447505531,33728.9813676921,"rdata/model-10-3-5-8.RData"
10,1000,3,1,1,1,0.333333333333333,0.25,1,0.33495145631068,-24.953298500158,6816.96848095702,"rdata/model-10-3-6-1.RData"
10,1000,3,1,0.974603174603175,1,0.444444444444444,0.307692307692308,0.945945945945946,0.431924882629108,-36.0436533891172,6803.13746717141,"rdata/model-10-3-7-1.RData"
10,1000,3,1,0.913026819923372,1,0.444444444444444,0.266666666666667,0.891891891891892,0.38974358974359,-34.6573590279973,6182.87196199447,"rdata/model-10-3-9-1.RData"
10,1000,4,1,1,1,0.555555555555556,0.333333333333333,0.964285714285714,0.359259259259259,-24.953298500158,5854.06164675004,"rdata/model-10-4-1-1.RData"
10,1000,4,2,1,1,0.5,0.333333333333333,0.96551724137931,0.359259259259259,-37.429947750237,11708.1232935001,"rdata/model-10-4-1-2.RData"
10,1000,4,3,1,1,0.454545454545455,0.333333333333333,0.94,0.511111111111111,-62.3832462503951,17252.2802442438,"rdata/model-10-4-1-3.RData"
10,1000,4,4,1,1,0.454545454545455,0.333333333333333,0.95,0.448148148148148,-62.3832462503951,23416.2465870002,"rdata/model-10-4-1-4.RData"
10,1000,4,5,1,1,0.454545454545455,0.333333333333333,0.96,0.474074074074074,-62.3832462503951,22979.5369825751,"rdata/model-10-4-1-5.RData"
10,1000,4,6,1,1,0.454545454545455,0.333333333333333,0.96,0.459259259259259,-74.8598955004741,23416.2465870002,"rdata/model-10-4-1-6.RData"
10,1000,4,7,1,1,0.454545454545455,0.333333333333333,0.933333333333333,0.603703703703704,-87.3365447505531,34434.0504592378,"rdata/model-10-4-1-7.RData"
10,1000,4,8,1,1,0.454545454545455,0.333333333333333,0.96,0.511111111111111,-74.8598955004741,29270.3082337502,"rdata/model-10-4-1-8.RData"
10,1000,4,1,1,1,0.444444444444444,0.222222222222222,1,0.377142857142857,-24.953298500158,4576.48718409011,"rdata/model-10-4-10-1.RData"
10,1000,4,2,1,1,0.5,0.277777777777778,1,0.377142857142857,-37.429947750237,9152.97436818022,"rdata/model-10-4-10-2.RData"
10,1000,4,1,1,1,0.5,0.294117647058824,1,0.244131455399061,-12.476649250079,5764.42597022449,"rdata/model-10-4-2-1.RData"
10,1000,4,2,1,1,0.5,0.294117647058824,1,0.342723004694836,-37.429947750237,11528.851940449,"rdata/model-10-4-2-2.RData"
10,1000,4,3,1,1,0.545454545454545,0.352941176470588,1,0.525821596244131,-62.3832462503951,15310.7574802367,"rdata/model-10-4-2-3.RData"
10,1000,4,4,1,1,0.545454545454545,0.352941176470588,1,0.633802816901408,-62.3832462503951,17293.2779106735,"rdata/model-10-4-2-4.RData"
10,1000,4,5,1,1,0.545454545454545,0.352941176470588,1,0.633802816901408,-74.8598955004741,22919.2240239979,"rdata/model-10-4-2-5.RData"
10,1000,4,6,1,1,0.545454545454545,0.352941176470588,1,0.511737089201878,-87.3365447505531,23057.703880898,"rdata/model-10-4-2-6.RData"
10,1000,4,7,1,1,0.545454545454545,0.352941176470588,1,0.807511737089202,-99.8131940006321,23057.703880898,"rdata/model-10-4-2-7.RData"
10,1000,4,8,1,1,0.545454545454545,0.352941176470588,1,0.436619718309859,-87.3365447505531,28822.1298511225,"rdata/model-10-4-2-8.RData"
